variant,arm,causal,layer,rel_depth,probe_helix_f1,probe_helix_auroc,probe_strand_f1,probe_strand_auroc,probe_burial_f1,probe_burial_auroc,contact_p_at_L5,contact_n_proteins
linear,ckpt_mlm_s42_token,False,14,50%,0.6135614105026638,0.7097063856305688,0.4595946018603151,0.7310656034678386,0.6722307017828727,0.7302720515756076,0.01907669351706731,150
linear,ckpt_clm_s42,True,14,50%,0.6530202838249498,0.7604975873392756,0.5270142180094787,0.8051793874035565,0.6729419481797311,0.7393544218530711,0.032567535406540685,150
linear,ckpt_mlm_s43_token,False,14,50%,0.6099787149608572,0.7010951364693861,0.4472703354527516,0.7135907973862277,0.6675116180819602,0.7231736057993717,0.029231394837018296,150
linear,ckpt_clm_s43,True,14,50%,0.6533699117668866,0.7587303046549903,0.5248858701703597,0.8052122207265751,0.6722512401038073,0.7399011945523744,0.02793730584485239,150
linear,ckpt_mlm_s44_token,False,14,50%,0.6169067995522334,0.709563701815327,0.4545357181107422,0.7275379842802328,0.6695008762250925,0.7281753137947716,0.027802096848093913,150
linear,ckpt_clm_s44,True,14,50%,0.6504936947598092,0.754920533204983,0.5186941656556744,0.7982392236044065,0.6732021843542338,0.7384887343210553,0.0330952581222688,150
mlp,ckpt_mlm_s42_token,False,14,50%,0.6107797658493483,0.707252515146583,0.44872473277595515,0.7218456253610184,0.6634844868735084,0.7265950362105775,0.01907669351706731,150
mlp,ckpt_clm_s42,True,14,50%,0.6640447411149197,0.7655946616835185,0.517527574533144,0.8011193017132896,0.6732569558101473,0.7374546769422737,0.032567535406540685,150
mlp,ckpt_mlm_s43_token,False,14,50%,0.6074638671172791,0.6950241026721176,0.43855840208423796,0.7034753875789084,0.6522249421548573,0.7195138350699162,0.029231394837018296,150
mlp,ckpt_clm_s43,True,14,50%,0.6549889135254989,0.7601748243379327,0.5211112336015875,0.8001577359770186,0.6766781021425335,0.7381262108682229,0.02793730584485239,150
mlp,ckpt_mlm_s44_token,False,14,50%,0.5936814561126718,0.7034088232708612,0.4391663140076174,0.7083340424763791,0.6679619323607864,0.7272573867921246,0.027802096848093913,150
mlp,ckpt_clm_s44,True,14,50%,0.6552465702632555,0.7606687082604038,0.5111135088476478,0.7913939141343813,0.6728441384710757,0.7369318662656582,0.0330952581222688,150
